msg_id,msg_date,msg_time,msg_from,msg_to,text_message,msg_group_id
1,2024-06-27,1:18:25,62,614,a ipsum integer a nibh in quis justo,415
2,2024-07-27,8:41:13,499,434,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,259
3,2024-05-27,20:05:25,113,216,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,258
4,2024-01-29,1:07:31,579,479,congue eget semper rutrum nulla nunc purus phasellus in felis,195
5,2023-11-28,7:08:19,223,54,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,47
6,2023-09-27,7:09:34,215,343,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,360
7,2023-11-08,1:43:27,903,100,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,31
8,2024-07-31,2:30:42,284,538,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,204
9,2024-05-14,4:09:54,757,33,velit donec diam neque vestibulum eget vulputate ut ultrices,452
10,2024-05-01,15:51:37,865,424,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,100
11,2024-04-21,6:58:29,990,432,neque duis,457
12,2024-06-06,19:21:21,612,243,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,126
13,2023-09-21,1:15:48,534,174,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,438
14,2023-12-04,21:12:34,364,682,nullam varius nulla facilisi cras non velit nec nisi vulputate,117
15,2024-04-21,21:32:20,536,466,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,338
16,2023-08-28,16:09:49,283,307,purus sit amet nulla quisque,224
17,2023-09-07,17:31:28,719,341,hendrerit,132
18,2023-10-16,9:45:20,595,544,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,190
19,2024-02-01,15:02:38,260,634,pede libero quis orci nullam molestie nibh in lectus pellentesque,70
20,2024-01-26,6:57:54,786,466,mus vivamus vestibulum sagittis sapien,285
21,2024-03-30,1:38:31,774,459,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,91
22,2024-03-05,13:51:53,211,530,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,3
23,2024-07-08,3:33:27,191,127,in hac habitasse platea dictumst aliquam augue quam sollicitudin,68
24,2024-01-25,12:55:14,526,423,nullam varius nulla facilisi cras,446
25,2024-06-25,13:39:25,362,116,ultrices,300
26,2024-07-01,7:54:36,594,971,a odio in hac habitasse platea dictumst maecenas ut,25
27,2023-11-27,12:27:04,674,682,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,467
28,2023-08-28,16:07:04,538,302,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,79
29,2024-01-04,4:38:25,791,786,sed vel enim sit amet nunc viverra dapibus nulla suscipit,434
30,2024-03-29,13:13:08,898,544,ultrices mattis odio donec vitae nisi nam ultrices,77
31,2023-08-22,6:08:47,131,920,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,413
32,2024-02-09,14:25:05,700,485,lectus,190
33,2024-03-11,23:50:13,553,941,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,171
34,2024-03-05,0:11:41,771,401,duis consequat dui nec nisi,408
35,2023-10-04,6:40:37,538,144,odio porttitor id,223
36,2024-05-24,11:04:35,257,374,duis at velit eu est congue elementum,320
37,2024-05-17,22:30:51,636,782,pulvinar nulla pede ullamcorper augue,306
38,2023-09-15,6:39:00,45,850,praesent blandit nam nulla,469
39,2024-03-19,22:54:23,544,147,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,458
40,2024-02-14,11:14:22,547,391,risus,449
41,2024-06-01,18:34:45,426,508,congue vivamus metus arcu,252
42,2023-10-04,12:01:10,286,846,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,55
43,2024-06-27,15:51:07,155,943,posuere cubilia curae donec,448
44,2024-07-27,23:28:27,781,634,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,151
45,2024-06-04,23:47:09,63,769,integer a nibh,155
46,2023-10-23,17:17:00,310,54,nulla nunc,319
47,2023-10-28,17:56:37,180,694,duis consequat dui nec nisi volutpat,59
48,2023-08-15,8:18:10,366,118,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,215
49,2024-01-30,13:45:44,148,217,lectus aliquam sit amet diam in magna bibendum,278
