id,owner_id,group_name,created_date
1,266,function,2024-02-04
2,812,upward-trending,2024-02-06
3,243,holistic,2024-06-05
4,696,radical,2024-05-09
5,220,synergy,2023-08-19
6,54,Assimilated,2024-07-16
7,885,access,2024-07-12
8,957,secured line,2024-04-20
9,370,Profound,2024-02-03
10,209,Fundamental,2024-08-10
11,218,Cross-group,2023-08-23
12,83,function,2024-01-14
13,167,task-force,2024-07-04
14,280,capability,2024-05-17
15,687,Reduced,2023-12-20
16,482,analyzer,2023-09-22
17,643,functionalities,2023-12-01
18,783,Assimilated,2024-05-24
19,359,homogeneous,2023-10-28
20,575,5th generation,2024-01-10
21,778,composite,2023-12-12
22,143,budgetary management,2023-09-05
23,976,Cloned,2024-05-08
24,329,productivity,2024-07-17
25,746,Exclusive,2024-02-27
26,859,Focused,2024-03-15
27,220,alliance,2024-01-31
28,485,Reverse-engineered,2024-08-03
29,421,internet solution,2024-05-11
30,411,Synergistic,2023-12-07
31,448,middleware,2024-03-13
32,930,Polarised,2023-11-06
33,224,static,2024-03-08
34,636,knowledge base,2024-07-26
35,955,Reduced,2024-04-04
36,146,superstructure,2024-02-26
37,519,User-centric,2024-01-16
38,67,benchmark,2024-05-15
39,24,4th generation,2024-01-31
40,57,functionalities,2024-08-06
41,874,Synergized,2023-12-17
42,161,Horizontal,2023-10-01
43,351,encoding,2023-10-01
44,102,workforce,2024-01-11
45,421,Advanced,2024-03-10
46,253,static,2023-10-19
47,41,matrices,2023-12-19
48,625,explicit,2023-08-22
49,302,Exclusive,2024-04-13
50,319,Persistent,2024-02-16
51,14,multi-state,2024-05-09
52,915,actuating,2024-03-16
53,527,zero defect,2023-10-31
54,681,matrices,2023-10-24
55,125,Graphic Interface,2024-07-24
56,419,structure,2024-01-11
57,115,Centralized,2024-04-14
58,623,Visionary,2023-11-19
59,357,Phased,2023-10-17
60,436,Exclusive,2023-10-16
61,75,application,2024-02-11
62,344,encryption,2024-06-07
63,968,Inverse,2024-01-24
64,917,Down-sized,2024-05-02
65,33,Ameliorated,2023-11-09
66,706,exuding,2023-11-13
67,625,secured line,2024-02-10
68,171,background,2023-09-08
69,585,mobile,2024-01-30
70,848,Operative,2023-09-24
71,4,throughput,2024-02-11
72,21,full-range,2023-10-10
73,866,Secured,2024-05-28
74,360,Front-line,2024-04-17
75,17,capacity,2024-08-07
76,367,Pre-emptive,2023-09-17
77,276,well-modulated,2024-02-29
78,952,circuit,2023-11-05
79,502,Versatile,2024-03-31
80,707,concept,2024-08-09
81,880,Exclusive,2024-02-03
82,601,flexibility,2024-05-14
83,347,mobile,2023-10-08
84,866,capacity,2023-10-28
85,119,forecast,2024-07-12
86,214,Cross-platform,2024-05-08
87,28,responsive,2024-08-12
88,535,hub,2024-03-28
89,856,initiative,2024-08-10
90,373,software,2024-05-14
91,428,neutral,2024-08-04
92,479,Secured,2023-11-21
93,274,Progressive,2023-11-09
94,604,Multi-channelled,2024-07-21
95,416,tertiary,2024-04-24
96,746,internet solution,2024-01-22
97,80,capacity,2023-08-16
98,666,Right-sized,2024-04-24
99,952,Function-based,2024-06-03
100,195,productivity,2024-07-24
101,628,encoding,2024-06-05
102,417,toolset,2024-01-06
103,779,hub,2024-05-06
104,725,intranet,2024-01-12
105,199,national,2023-12-27
106,125,forecast,2023-08-26
107,115,Down-sized,2023-08-23
108,12,grid-enabled,2023-10-21
109,107,capacity,2024-06-22
110,518,attitude,2024-04-19
111,116,fresh-thinking,2024-05-14
112,652,Reverse-engineered,2023-12-13
113,137,executive,2023-10-08
114,773,empowering,2024-01-26
115,809,neutral,2023-10-20
116,374,attitude,2024-02-17
117,380,fresh-thinking,2024-05-03
118,331,disintermediate,2024-02-16
119,11,structure,2024-04-02
120,926,didactic,2024-05-02
121,2,Public-key,2024-07-11
122,564,scalable,2024-03-28
123,531,Progressive,2024-03-29
124,534,Focused,2023-12-13
125,572,discrete,2023-12-18
126,921,Pre-emptive,2024-01-21
127,189,Horizontal,2023-09-13
128,9,De-engineered,2024-07-25
129,226,Proactive,2023-09-27
130,6,Balanced,2023-11-28
131,785,Mandatory,2024-03-21
132,384,multi-state,2024-05-22
133,276,initiative,2024-08-03
134,417,Quality-focused,2023-11-13
135,82,content-based,2023-09-29
136,31,architecture,2023-08-29
137,946,installation,2024-02-07
138,891,logistical,2024-04-26
139,580,Up-sized,2023-11-25
140,348,algorithm,2024-05-22
141,374,website,2023-11-10
142,140,Universal,2023-08-15
143,205,secondary,2024-05-25
144,318,systemic,2023-11-15
145,99,model,2023-08-19
146,787,Front-line,2023-12-07
147,711,Expanded,2024-05-18
148,413,Graphic Interface,2024-03-25
149,841,eco-centric,2023-08-19
150,188,Synergized,2024-05-18
151,370,national,2024-07-19
152,706,Balanced,2024-05-04
153,933,multi-state,2024-01-23
154,556,help-desk,2023-09-01
155,245,system engine,2023-11-09
156,297,alliance,2024-08-02
157,785,mobile,2023-10-18
158,294,neutral,2024-07-19
159,678,methodology,2024-08-13
160,948,logistical,2023-10-03
161,474,instruction set,2023-12-30
162,775,Cloned,2024-04-23
163,412,local,2023-09-21
164,410,human-resource,2023-10-04
165,730,conglomeration,2023-08-25
166,129,utilisation,2024-06-24
167,202,Configurable,2024-08-09
168,652,User-friendly,2024-07-05
169,469,Multi-tiered,2023-09-23
170,981,contingency,2024-04-16
171,306,Expanded,2024-03-08
172,407,policy,2024-01-15
173,798,even-keeled,2024-07-21
174,892,24/7,2024-08-01
175,503,utilisation,2024-02-03
